id,fecha,ticket,proveedor,precio,created_at,updated_at
12f725f6-f253-460b-9aa2-3230001c1e4e,2026-03-23,78443,MAURICIO,80.00,"2026-03-23 15:37:59.397121+00","2026-03-23 15:37:59.397121+00"
c13b8ac6-693e-4527-81e0-a8403fccf8a3,2026-03-23,78444,MAURICIO,80.00,"2026-03-23 15:49:49.499813+00","2026-03-23 15:49:49.499813+00"
2ffc82f6-54a2-4b8c-941b-2ad36428158c,2026-03-23,59743,TCM,100.00,"2026-03-23 17:18:42.8745+00","2026-03-23 17:18:42.8745+00"
c2a8d706-dd8e-42e4-801f-31180eb8e1c7,2026-03-23,78464,MAURICIO,80.00,"2026-03-23 18:51:46.096949+00","2026-03-23 18:51:46.096949+00"
10dc0ce0-b7ab-41c4-855a-b4d8ecf81a01,2026-03-24,59753,JORGE,80.00,"2026-03-24 14:10:11.411271+00","2026-03-24 14:10:11.411271+00"
5c60fa3b-467b-4551-bcda-7a95606efa60,2026-03-24,78495,"JUAN SOLIS",80.00,"2026-03-24 18:52:35.596881+00","2026-03-24 18:52:35.596881+00"
a5b471e4-4680-4277-a088-5ba6fff87615,2026-03-24,59781,"JUAN SOLIS",80.00,"2026-03-24 18:52:50.335708+00","2026-03-24 18:52:50.335708+00"
377fc778-a5f8-4151-b412-b3eb7bff51ff,2026-03-24,59782,"JUAN SOLIS",80.00,"2026-03-24 18:53:04.490371+00","2026-03-24 18:53:04.490371+00"
3cc88459-176a-446f-91e3-b1ba105a5921,2026-03-24,59783,"JUAN SOLIS",80.00,"2026-03-24 18:53:17.262261+00","2026-03-24 18:53:17.262261+00"
a503a538-1402-4634-b3a4-e9d191768a5f,2026-03-24,59784,"JUAN SOLIS",80.00,"2026-03-24 18:55:44.405267+00","2026-03-24 18:55:44.405267+00"
f30167e2-abbb-4a00-8bf8-668084ff39bb,2026-03-24,PENDIENTE,"JUAN SOLIS",80.00,"2026-03-24 18:56:16.607244+00","2026-03-24 18:56:16.607244+00"
2fa7cbac-dcc3-4af2-a24a-f4d2d5bbc66d,2026-03-25,5002,"SALVADOR GONZALEZ",90.00,"2026-03-25 21:47:02.102401+00","2026-03-25 21:47:02.102401+00"
48843725-07e7-42aa-8d71-be23e3909381,2026-03-25,5003,LECHERO,90.00,"2026-03-25 21:47:28.818261+00","2026-03-25 21:47:28.818261+00"
05cddba0-b7ad-4a35-968a-b5f84519dd82,2026-03-26,5004,"JOSE TORRES",80.00,"2026-03-26 18:16:29.395913+00","2026-03-26 18:16:29.395913+00"
a8565b74-f588-4e22-aab1-fa315db74a3e,2026-03-26,5005,TSC,100.00,"2026-03-26 18:16:47.932646+00","2026-03-26 18:16:47.932646+00"
aaa1e69b-cec1-423f-b5ea-ff5c8defe805,2026-03-25,5001,TSM,80.00,"2026-03-25 15:21:07.670424+00","2026-03-26 18:17:02.791343+00"
28675d22-366f-452f-9cef-b46751a6c1d5,2026-03-26,5006,CEREALES,100.00,"2026-03-26 21:51:57.6178+00","2026-03-26 21:51:57.6178+00"
cc323d86-83f3-41e1-87ad-2b6431f09c9e,2026-03-26,5007,MANUEL,80.00,"2026-03-26 21:53:51.799717+00","2026-03-26 21:53:51.799717+00"
5085e18d-0662-4939-a069-b81249b193da,2026-03-27,5008,"FRANCISCO MARTINEZ",100.00,"2026-03-27 21:30:08.093207+00","2026-03-27 21:30:08.093207+00"
706f71e7-c813-4aa2-a957-d2b66ab98e8f,2026-03-27,5009,"JUAN SOLIS",80.00,"2026-03-27 21:31:03.497463+00","2026-03-27 21:31:03.497463+00"
47bbd55a-eda4-4936-9aa3-9e6dc64daa52,2026-03-27,5010,SN,100.00,"2026-03-27 21:31:26.984143+00","2026-03-27 21:31:26.984143+00"
31dcf3d0-b159-44d9-9f46-af574bb9ea7b,2026-03-27,5011,"SALVADOR GONZALEZ",90.00,"2026-03-27 21:32:34.058623+00","2026-03-27 21:32:34.058623+00"
9412b810-75b1-45b5-9165-3410487a6c71,2026-03-30,5016,"MAURICIO RANGEL",80.00,"2026-03-30 19:56:00.076676+00","2026-03-30 19:56:00.076676+00"
b085070c-ab39-4ec7-b22f-20b4636655b6,2026-03-30,5017,"MAURICIO RANGEL",80.00,"2026-03-30 19:56:17.017224+00","2026-03-30 19:56:17.017224+00"
36ad10b6-9da0-4e35-bf40-245a477d80f8,2026-03-30,5019,"LA LAJA",100.00,"2026-03-30 19:56:31.453505+00","2026-03-30 19:56:31.453505+00"
9635e020-19e7-4fcc-b8df-a3b571b88e6d,2026-03-30,5021,"MAURICIO RANGEL",80.00,"2026-03-30 22:52:54.246902+00","2026-03-30 22:52:54.246902+00"
89bb26df-0265-44a1-8b76-fa4c3dcd8aa8,2026-03-30,5018,"MAURICIO RANGEL",80.00,"2026-03-30 22:54:52.627589+00","2026-03-30 22:54:52.627589+00"
92771684-6fc3-4c9a-9356-416f96641f65,2026-03-30,5015,MARE,90.00,"2026-03-30 22:55:36.047775+00","2026-03-30 22:55:36.047775+00"
9ff7badd-6f24-4e1b-b644-63dc1d7866b0,2026-03-30,5012,"MAURICIO RANGEL",80.00,"2026-03-30 22:56:03.568407+00","2026-03-30 22:56:03.568407+00"
e8fc43b3-1d5f-48ed-913b-7b0d50219260,2026-03-27,5013,PABLO,80.00,"2026-03-30 23:25:43.216679+00","2026-03-30 23:25:43.216679+00"
a45f2bd1-456c-4ce0-8c59-e6f857ea58e4,2026-03-31,5022,TSM,80.00,"2026-03-31 15:41:48.275665+00","2026-03-31 15:41:48.275665+00"
335d5278-e892-42ce-9e8c-952bf6edd7f2,2026-03-31,5024,"DANIEL SERRANO",80.00,"2026-03-31 16:19:44.450925+00","2026-03-31 16:19:44.450925+00"
10353a1a-a23b-4a76-9b0e-24b8e77e4105,2026-03-31,5023,OMAR,80.00,"2026-03-31 16:24:15.152781+00","2026-03-31 16:24:15.152781+00"
09e14c6a-2fbd-41ff-9e9d-7972bc6ae30f,2026-03-31,5027,"JUAN SOLIS",80.00,"2026-03-31 21:40:57.85686+00","2026-03-31 21:40:57.85686+00"
11fdcb55-049e-419b-9db4-8857cc0a2e14,2026-03-31,5028,"JUAN SOLIS",80.00,"2026-03-31 21:41:16.302353+00","2026-03-31 21:41:16.302353+00"
a8e26278-e524-4760-ad87-6b728b1a2c66,2026-03-31,5029,"JUAN SOLIS",80.00,"2026-03-31 21:41:45.938259+00","2026-03-31 21:41:45.938259+00"
8701667b-ce1b-43ae-9359-5d7085ec713b,2026-03-31,5030,"JUAN SOLIS",80.00,"2026-03-31 21:42:01.128761+00","2026-03-31 21:42:01.128761+00"
e2f56c4e-f37d-49fb-bcd9-bb1efa71c0f4,2026-03-31,5031,"JUAN SOLIS",80.00,"2026-03-31 21:42:18.23325+00","2026-03-31 21:42:18.23325+00"
1f40aa8d-6d58-4ea4-8ca6-8e0516259b15,2026-03-31,5033,"JUAN SOLIS",80.00,"2026-03-31 21:42:38.020389+00","2026-03-31 21:42:38.020389+00"
f839670f-4f96-417d-b61d-8ea07361fdb1,2026-03-31,5034,"JUAN SOLIS",80.00,"2026-03-31 21:42:53.263039+00","2026-03-31 21:42:53.263039+00"
d598e2db-2ab6-4de1-ad56-97f4c0b4130d,2026-03-31,5035,"JUAN SOLIS",80.00,"2026-03-31 21:43:10.103685+00","2026-03-31 21:43:10.103685+00"
fdf21a63-6a26-4c16-a361-5ec8760fa2b4,2026-03-31,5036,"JUAN SOLIS",80.00,"2026-03-31 21:43:23.169394+00","2026-03-31 21:43:23.169394+00"
a9807b79-12cf-47c4-a3f4-6e89e9ef4e2a,2026-03-31,5037,"JUAN SOLIS",80.00,"2026-03-31 21:43:37.896996+00","2026-03-31 21:43:37.896996+00"
23d93913-49eb-454e-85b4-889f5b2b7507,2026-03-31,5038,"JUAN SOLIS",80.00,"2026-03-31 21:43:51.212348+00","2026-03-31 21:43:51.212348+00"
1f958c02-bf00-4922-992b-844892ea6f8d,2026-03-31,5039,"CHAVA GONZALEZ",90.00,"2026-03-31 21:44:11.742098+00","2026-03-31 21:44:11.742098+00"
fb2c6a04-5b45-4f5b-a5e5-6eaaa8a75285,2026-03-31,5040,MANUEL,80.00,"2026-03-31 22:51:34.160328+00","2026-03-31 22:51:34.160328+00"
3a04f9c7-8229-48ec-aa22-e8107b307891,2026-04-01,5042,TSM,100.00,"2026-04-01 20:40:17.033294+00","2026-04-01 20:40:17.033294+00"
ac17a327-3560-4734-b223-f56dc63cb969,2026-04-01,5041,"SALVADOR GONZALEZ",90.00,"2026-04-01 20:49:37.416599+00","2026-04-01 20:49:37.416599+00"
aea10c88-21f4-484b-9a78-75017680430c,2026-04-01,5044,"MAURICIO RANGEL",80.00,"2026-04-01 21:12:35.917556+00","2026-04-01 21:12:35.917556+00"
aaff5280-54f4-4914-a83c-9594649c5049,2026-04-01,5046,TSM,80.00,"2026-04-01 23:11:47.413883+00","2026-04-01 23:11:47.413883+00"
f4b7f590-3405-492c-82a7-d6585fb89fa6,2026-04-01,5045,"MAURICIO RANGEL",80.00,"2026-04-01 23:31:52.14889+00","2026-04-01 23:31:52.14889+00"