id,plate,nickname,type,brand,model,year,vin,status,created_at,code,fuel,vehicle_type,gps_provider,gps_external_id,notes,serial_number
f780587b-f464-4ca0-ab88-ceb8f3013a3c,,C1,Camion,,,,,activo,"2026-02-11 17:02:40.914422+00",C1,Diesel,Camion,Epcom,,,
2c056a39-34e3-4f6e-84b3-35c5ce5b3230,,C3,Camion,,,,,activo,"2026-02-11 17:02:40.914422+00",C3,Diesel,Camion,Epcom,,,
3cf8d14f-b7cc-41a9-884f-3df05611c351,,C4,Camion,,,,,activo,"2026-02-11 17:02:40.914422+00",C4,Diesel,Camion,Epcom,,,
48adb922-916e-47ae-a45c-cdd21fe98da5,,C5,Camion,,,,,activo,"2026-02-11 17:02:40.914422+00",C5,Diesel,Camion,Epcom,,,
1477a8c3-24fa-49a6-963c-7bb8a6d3c8ed,,F3,Camioneta,,,,,activo,"2026-02-11 17:02:40.914422+00",F3,Diesel,Camioneta,Epcom,,,
ef5f752d-a959-4924-aa53-e05c97c7afa2,,F2,Camioneta,,,,,activo,"2026-02-11 17:02:40.914422+00",F2,Diesel,Camioneta,Epcom,,,
9b56c297-89f5-46f1-98b8-fe7f55b6c9e9,,F1,Camioneta,,,,,activo,"2026-02-11 17:02:40.914422+00",F1,Diesel,Camioneta,Epcom,,,
3e332be3-7d74-4b98-95e5-e810550efa70,,T3,Trailer,,,,,activo,"2026-02-11 17:02:40.914422+00",T3,Diesel,Trailer,Epcom,,,
fab36a8a-ac87-437d-9515-faa23ac73254,,T1,Trailer,,,,,activo,"2026-02-11 17:02:40.914422+00",T1,Diesel,Trailer,Epcom,,,
8898649d-765c-4ddb-9d20-4efd3f3160ac,,G3,Grua,,,,,activo,"2026-02-11 17:02:40.914422+00",G3,Diesel,Grua,Epcom,,,
1ac2dc97-fddd-4228-8ac7-b9623a500d2c,,G4,"Grua con Iman",,,,,activo,"2026-02-11 17:02:40.914422+00",G4,Diesel,"Grua con Iman",Epcom,,,
b6f6d72c-8572-4cd9-9e56-2fd34353a0e6,,G5,Grua,,,,,activo,"2026-02-11 17:02:40.914422+00",G5,Diesel,Grua,Epcom,,,
b4108abe-238d-495a-bba0-b180efcfb24f,,G2,Grua,,,,,activo,"2026-02-11 17:02:40.914422+00",G2,Diesel,Grua,Epcom,,,
0db08057-9334-47fb-8631-e0af226052d3,,N1,Camioneta,,,,,activo,"2026-02-11 17:02:40.914422+00",N1,Diesel,Camioneta,Epcom,,,
55b47359-26cc-428e-aa69-dcb407787de6,,N3,Camioneta,,,,,activo,"2026-02-11 17:02:40.914422+00",N3,Gasolina,Camioneta,Epcom,,,
f01764c4-1bc8-42c9-9757-ad325c8266b3,,N2,Camioneta,,,,,activo,"2026-02-11 17:02:40.914422+00",N2,Gasolina,Camioneta,Epcom,,,
bf804101-b666-438f-a0aa-1fd9860c4b04,,T2,Trailer,,,,,activo,"2026-02-11 17:02:40.914422+00",T2,Diesel,Trailer,Epcom,,,
9a5a7bc4-1920-4dca-8000-906b518ba269,,G1,Grua,,,,,activo,"2026-02-11 17:02:40.914422+00",G1,Diesel,Grua,Epcom,,,
5a7d0184-7deb-4b05-ae89-cc757cda17c6,,C2,Camion,,,,,activo,"2026-02-11 17:02:40.914422+00",C2,Diesel,Camion,Epcom,,,
f6e81c00-bbed-49d3-846c-67db010ebc91,,,unidad,,,,,activo,"2026-03-11 19:03:42.71625+00","GRUA CARTON FIJA",,,Epcom,,,
088163f2-064e-4ee4-9354-a273661cdaf4,,,unidad,,,,,activo,"2026-03-11 19:03:55.01707+00","COMPACTADORA 1",,,Epcom,,,
f4f628b9-9fc1-4f83-ae13-591209b44a58,,,unidad,,,,,activo,"2026-03-11 19:04:01.022971+00","COMPACTADORA 2",,,Epcom,,,
f39be049-4575-4fc7-a288-9fc4b7d48a40,,,unidad,,,,,activo,"2026-03-23 14:24:46.820724+00","COMPACTADORA WHIRPOOL",,,Epcom,,,